,X30,X90,X180,X360,X720,X1080,X1800,X2520,X3600
28.03.2012,9.6277,9.7125,9.7627,9.692,9.5234,9.4784,9.5051,9.5909,9.7623
29.03.2012,9.5199,9.647,9.741,9.7087,9.5572,9.5131,9.5371,9.625,9.8078
30.03.2012,9.1711,9.2998,9.4081,9.432,9.361,9.3514,9.4126,9.528,9.7515
2.04.2012,9.3618,9.4934,9.5901,9.5664,9.4226,9.3769,9.4137,9.5408,9.8178
3.04.2012,9.4872,9.584,9.6409,9.5706,9.3878,9.3256,9.3493,9.4761,9.7627
4.04.2012,9.6363,9.751,9.8112,9.7007,9.4411,9.3451,9.3549,9.5054,9.864
5.04.2012,9.7869,9.8606,9.88,9.7282,9.4436,9.3448,9.3637,9.5336,9.9305
6.04.2012,9.8736,9.8669,9.8093,9.6222,9.3726,9.3012,9.3501,9.5253,9.901
9.04.2012,9.5237,9.6948,9.8019,9.7059,9.4305,9.3327,9.3546,9.5274,9.9288
10.04.2012,9.5223,9.7326,9.88,9.8191,9.5523,9.444,9.4415,9.5972,9.9842
11.04.2012,9.6976,9.8333,9.907,9.7907,9.5187,9.4215,9.4287,9.5692,9.9007
12.04.2012,9.3722,9.5989,9.7674,9.7123,9.4422,9.3391,9.3377,9.4785,9.8205
13.04.2012,9.6152,9.7382,9.8084,9.7073,9.4776,9.4025,9.4223,9.5507,9.8361
16.04.2012,9.5286,9.7621,9.9161,9.8219,9.5257,9.4293,9.4381,9.5609,9.8351
17.04.2012,9.7517,9.8814,9.9394,9.7921,9.5284,9.4722,9.5172,9.6191,9.7921
18.04.2012,9.698,9.856,9.9445,9.827,9.5644,9.4859,9.4963,9.59,9.7868
19.04.2012,9.5799,9.7964,9.9485,9.8717,9.6097,9.5245,9.522,9.6092,9.8045
20.04.2012,9.2345,9.5269,9.766,9.7865,9.603,9.5345,9.5325,9.6149,9.8066
24.04.2012,9.4539,9.6346,9.7626,9.7269,9.5538,9.494,9.4982,9.5782,9.7594
25.04.2012,9.3276,9.576,9.7634,9.7334,9.5192,9.4303,9.3938,9.4442,9.5923
26.04.2012,9.4167,9.6537,9.8294,9.7701,9.5236,9.4297,9.3859,9.4183,9.5222
27.04.2012,9.5107,9.598,9.6462,9.5744,9.4212,9.364,9.3358,9.3514,9.4035
30.04.2012,9.0715,9.3382,9.5453,9.5636,9.4081,9.3405,9.2851,9.2636,9.247
2.05.2012,9.1554,9.3928,9.579,9.5786,9.4223,9.3622,9.3139,9.2841,9.2352
3.05.2012,9.217,9.5159,9.7342,9.683,9.4102,9.2904,9.1872,9.1499,9.1349
4.05.2012,9.7389,9.839,9.8684,9.7177,9.4376,9.3035,9.1772,9.1347,9.1403
7.05.2012,9.414,9.6685,9.8417,9.7773,9.5022,9.3571,9.2107,9.1562,9.1532
8.05.2012,9.6816,9.876,9.9877,9.8692,9.572,9.4319,9.3126,9.2908,9.3383
9.05.2012,9.7366,9.9182,10.0287,9.9168,9.6187,9.4626,9.3157,9.2785,9.3211
10.05.2012,9.7539,9.8958,9.962,9.8143,9.4998,9.3424,9.1914,9.1465,9.1715
11.05.2012,10.1625,10.1173,10.0223,9.7993,9.5007,9.3438,9.1807,9.1207,9.1257
14.05.2012,9.7649,9.9436,10.0346,9.8896,9.5662,9.4048,9.2553,9.2187,9.2637
15.05.2012,9.6466,9.8761,10.0136,9.8996,9.587,9.4279,9.2771,9.2357,9.2714
16.05.2012,9.9084,9.994,10.01,9.8377,9.5455,9.4096,9.2924,9.2673,9.3071
17.05.2012,9.8766,10.0278,10.0966,9.9438,9.6501,9.5271,9.4325,9.4221,9.4703
18.05.2012,9.5524,9.7292,9.8227,9.7418,9.542,9.4575,9.3908,9.3783,9.3982
21.05.2012,9.9146,10.0095,10.0142,9.8068,9.518,9.4286,9.3858,9.388,9.4046
22.05.2012,9.9346,10.0215,10.0253,9.8267,9.5307,9.4155,9.3333,9.3234,9.3563
23.05.2012,10.1095,10.1502,10.1125,9.8846,9.589,9.4864,9.4239,9.4177,9.4343
24.05.2012,10.0536,10.1555,10.1578,9.9219,9.5819,9.4619,9.3821,9.3675,9.3764
25.05.2012,9.4818,9.8192,10.0184,9.9038,9.5881,9.4559,9.3559,9.3417,9.3793
